"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2838","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2839","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2840","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2841","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2842","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2843","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2844","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2845","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2846","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2847","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2848","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2849","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2850","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2851","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2852","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2853","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2854","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2855","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2856","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2857","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2858","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2859","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2860","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2861","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2862","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2863","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2864","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2865","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2866","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2867","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2868","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2869","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2870","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2871","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2872","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2873","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2874","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2875","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2876","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2877","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2878","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2879","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2880","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2881","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2882","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2883","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2884","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2885","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2886","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2887","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2888","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2889","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2890","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2891","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2892","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2893","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2894","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2895","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2896","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
